commit	val_score	triggers	status	description
33873c2	0.152927	120	discard	E=E087/r6_first_in_2h_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.47 best_sl=5.10 elapsed=0.1s
33873c2	0.092645	120	discard	E=E088/r6_after_pricechange_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.24 best_sl=5.73 elapsed=0.1s
33873c2	0.152927	120	discard	E=E089/r6_after_oi_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.47 best_sl=5.10 elapsed=0.1s
33873c2	0.092645	120	discard	E=E090/r6_short_event_hold_5m X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.24 best_sl=5.73 elapsed=0.1s
33873c2	0.229467	5000	discard	E=E091/cc_pc_then_oi_5m_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.32 best_sl=6.00 elapsed=3.2s
33873c2	0.229467	5000	discard	E=E092/cc_oi_then_pc_5m_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.32 best_sl=6.00 elapsed=3.1s
33873c2	0.227728	5000	discard	E=E093/cc_r6_after_burst_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.32 best_sl=6.00 elapsed=3.2s
33873c2	0.229467	5000	discard	E=E094/cc_oi_pc_simultaneous_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.32 best_sl=6.00 elapsed=3.2s
33873c2	0.229467	5000	discard	E=E095/cc_three_channel_within_5m_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.32 best_sl=6.00 elapsed=3.2s
33873c2	0.227728	5000	discard	E=E096/cc_pc_oi_diverge_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.32 best_sl=6.00 elapsed=3.3s
33873c2	0.227728	5000	discard	E=E097/cc_oi_r6_align_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.32 best_sl=6.00 elapsed=3.2s
33873c2	0.227728	5000	discard	E=E098/cc_pc_pump_no_oi_5m_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.32 best_sl=6.00 elapsed=3.3s
