strategy_family,side,entry_timing,exit_family,tested_strategies,sample_gt15_count,sample_ge50_count,sample_ge100_count,median_sample_size,max_sample_size,best_median_net_pct,median_of_median_net_pct,median_p10_net_pct,best_robust_score,median_robust_score,median_stability_score,best_stability_score,positive_stress_rate_pct,positive_p10_rate_pct,future_safety_pass_rate_pct,median_baseline_lift_pct,unique_clusters,unique_exit_families,unique_entry_families,median_top_symbol_share_pct,best_strategy_id,best_sample_size,best_sample_tier,combined_funnel_score
cross_channel_continuation,long,30s,state_machine,192,192,192,0,59.0,80,2.31473408639431,1.357920840382576,-3.2241586595773697,0.0056262420549988,0.0024124610297381,0.3797932,0.415094725,100.0,0.0,100.0,1.8096502870321276,2,1,1,22.033898305084744,v6_73ed8ad1fb92b6fe3b,59,validated_watchlist,0.3704484304932735
oi_funding_continuation,long,1m,failed_continuation,110,110,0,0,47.0,47,8.650841563940048,8.650841563940048,-5.224158987402916,0.0161241919158367,0.0161241919158367,0.4269504,0.4269504,100.0,0.0,100.0,9.1025710105896,1,1,1,51.06382978723404,v6_934fded95b54a17d76,47,exploratory_watchlist,0.3696412556053812
contrarian_crash_fade,long,30s,trailing_stop,4087,4087,3418,3194,341.0,1401,1.9508007913827896,-0.3505126805976033,-2.2241588681936264,0.0040451727762818,-0.0092568578254431,0.2012918,0.455462775,4.404208465867384,0.0,100.0,0.101216766051948,16,1,1,7.209136331192005,v6_2a60126971bf417500,321,higher_confidence_watchlist,0.3677578475336323
freshness_strict_confirmation,short,5m,time_decay,381,381,0,0,34.0,46,23.300617933273315,0.0997458701021969,-0.3909577615559101,0.0700524135687134,0.0014889997384604,0.340484125,0.623021175,28.871391076115486,0.0,100.0,0.5514753167517483,2,1,1,32.35294117647059,v6_baa2337b9e5dc8fbd1,22,early_alpha,0.358744394618834
cross_channel_continuation,long,30s,multi_tp_sl,92,92,92,92,102.0,102,2.276559919118881,2.276559919118881,-3.2241586595773697,0.0037116785764694,0.0037116785764694,0.410836875,0.410836875,100.0,0.0,100.0,2.728289365768432,1,1,1,8.823529411764707,v6_7502a27d4aa421f628,102,higher_confidence_watchlist,0.3554708520179372
premium_basis_overheat,long,1m,trailing_stop,4725,4725,4681,3884,367.0,3795,1.002735272049904,-0.0027136178687214,-1.4117704704403875,-0.0009211846447177,-0.0025355682136044,0.291410925,0.360248725,2.793650793650793,0.0,100.0,0.44901582878083,19,1,1,23.160762942779293,v6_831c72a7181d938e81,94,validated_watchlist,0.3553363228699551
premium_basis_overheat,long,5m,runner_trail,747,747,602,465,140.0,213,8.2244373857975,4.818803817033768,-5.224158987402916,0.0177029604088408,0.0044518904558513,0.34437935,0.4315959750000001,89.95983935742971,0.0,100.0,5.270533263683319,8,1,1,46.948356807511736,v6_d7f55830df801309ba,140,higher_confidence_watchlist,0.354932735426009
premium_basis_overheat,long,30s,trailing_stop,1192,1192,989,589,65.0,1401,1.9508007913827896,-0.095436698757112,-0.9656516835093498,0.0040451727762818,-0.0020002725526317,0.279327,0.455462775,18.20469798657718,0.0,100.0,0.3562927478924393,9,1,1,17.5,v6_d43d91611161be68f6,321,higher_confidence_watchlist,0.3508520179372197
oi_funding_continuation,long,30s,indicator_invalidation,174,174,0,0,26.0,35,2.3031407967209816,2.3031407967209816,-3.161872923374176,0.0065261631356179,0.0065261631356179,0.3752928499999999,0.3752928499999999,100.0,0.0,100.0,2.754870243370533,2,1,1,26.923076923076923,v6_d28b44b1e34dca5eeb,26,early_alpha,0.3455156950672645
cross_channel_continuation,long,30s,time_decay,137,137,0,0,33.0,33,2.4090593680739403,2.4090593680739403,-2.624158933758736,0.0022592309869825,0.0022592309869825,0.3850672499999999,0.3850672499999999,100.0,0.0,100.0,2.860788814723492,1,1,1,15.151515151515152,v6_e5e834e1a130c3cadb,33,exploratory_watchlist,0.3453363228699551
contrarian_crash_fade,long,T0,runner_trail,124,124,0,0,36.0,36,8.162666857242584,2.509652264416218,-5.224158987402916,0.0289183187393915,0.0057814611129462,0.36488525,0.409696325,100.0,0.0,100.0,2.961381711065769,2,1,1,19.444444444444446,v6_2ce2fed31c2b198334,21,early_alpha,0.3439910313901345
liquidity_filtered_momentum,long,3m,time_decay,86,86,86,86,122.0,122,3.100075013935566,2.2228237241506577,-2.024158928543329,0.0051177857474982,0.0037674062488972,0.391217225,0.40478235,100.0,0.0,100.0,2.674553170800209,1,1,1,18.852459016393443,v6_fa896d3601464c8fe8,122,higher_confidence_watchlist,0.3434529147982062
message_context_breakout,long,30s,failed_continuation,219,219,219,219,462.0,462,2.791788429021836,2.791788429021836,-3.2241586595773697,0.0020787835228443,0.0020787835228443,0.367827925,0.367827925,100.0,0.0,100.0,3.243517875671387,1,1,1,17.74891774891775,v6_36d1edae81ac6d48c2,462,higher_confidence_watchlist,0.3360986547085202
liquidity_filtered_momentum,long,T0,trailing_stop,2572,2572,1200,1200,42.0,1401,0.4854463040828705,0.1431249314919114,-0.4087300971150398,0.0021186010723933,0.0005647784181497,0.2975769750000001,0.33321015,42.92379471228615,0.0,100.0,0.5948543781414628,8,1,1,28.57142857142857,v6_9dff90c242ed92a493,42,exploratory_watchlist,0.3347982062780268
