strategy_family,side,entry_timing,exit_family,rows,unique_clusters,median_sample,max_sample,best_median,median_of_medians,median_p10,best_p10,median_stress,best_stress,positive_p10_rate,positive_stress_rate,best_robust,median_robust,median_top_symbol_share,longform_score
state_machine_runner,long,3m,fixed_tp_sl,951,10,764.0,3795,7.775840908288956,4.775841161608696,-2.2241588681936264,1.275841053575277,4.507523402571678,7.507523149251938,13.564668769716087,100.0,0.0395429660081863,0.0127374950969219,4.057591623036649,0.6765470852017936
state_machine_runner,long,T0,runner_trail,2310,28,184.0,1401,14.50093537569046,6.351365894079208,-5.224158987402916,4.428631812334061,6.083048135042191,14.232617616653442,1.5584415584415585,99.52380952380952,0.0784264109492301,0.016940604551732498,10.44776119402985,0.6652017937219732
state_machine_runner,long,T0,partial_ladder,1985,20,145.0,1401,10.32584235072136,5.1214758306741714,-5.224158987402916,4.486499726772308,4.853158071637154,10.05752459168434,1.9143576826196476,100.0,0.0598741512209177,0.0130995726197957,10.344827586206897,0.6644394618834081
state_machine_runner,long,3m,state_machine,1576,5,764.0,3795,13.980646431446075,10.115446150302889,-5.224158987402916,-2.2241588681936264,9.84712839126587,13.712328672409058,0.0,100.0,0.0555833057016134,0.0263018064647912,4.057591623036649,0.6603587443946188
premium_basis_overheat,long,5m,time_decay,941,8,61.0,434,17.093954980373383,9.866245836019516,-1.824158988893032,-1.824158988893032,9.597928076982498,16.825637221336365,0.0,100.0,0.0755621534287929,0.0290157201343774,8.19672131147541,0.660269058295964
contrarian_crash_fade,long,30s,fixed_tp_sl,1426,11,341.0,954,7.775840908288956,4.775841161608696,-2.2241588681936264,4.775841161608696,4.507523402571678,7.507523149251938,18.723702664796633,100.0,0.0422429661273956,0.0119023174032568,6.079664570230608,0.6569506726457399
contrarian_crash_fade,long,30s,multi_tp_sl,1545,9,341.0,954,11.775840818881989,4.275841265916824,-2.2241588681936264,4.494784772396088,4.007523506879807,11.50752305984497,13.074433656957929,100.0,0.061542965516448,0.0148487165153026,6.079664570230608,0.6567713004484304
message_context_breakout,long,30s,breakeven_ratchet,1408,4,50.0,273,19.22389566898346,14.328685402870178,-3.2241586595773697,-1.7241587862372398,14.06036764383316,18.95557790994644,0.0,100.0,0.087859793934226,0.0417179229313135,16.0,0.6552914798206279
liquidity_filtered_momentum,long,T0,state_machine,2260,7,72.0,1401,14.092263579368591,11.665941774845123,-3.2241586595773697,-1.7241587862372398,11.397624015808104,13.823945820331572,0.0,100.0,0.0649540195792913,0.0331583202332258,5.88235294117647,0.6542600896860986
premium_basis_overheat,long,1m,state_machine,3024,23,179.0,3795,15.68090319633484,5.4314471781253815,-2.2241588681936264,-0.4278919659554958,5.163129419088364,15.41258692741394,0.0,94.97354497354497,0.072030357787013,0.0105241297388076,7.272727272727272,0.6534977578475336
freshness_strict_confirmation,long,30s,prove_or_exit,331,4,70.0,201,16.209112107753754,13.732866942882538,-5.224158987402916,-1.3174815103411674,13.46454918384552,15.940794348716736,0.0,100.0,0.0559491820301115,0.0433319306963682,16.666666666666664,0.6443497757847533
state_machine_runner,long,3m,breakeven_ratchet,1463,4,764.0,1344,14.491167664527891,8.937301486730576,-5.224158987402916,-2.2241588681936264,8.668983727693558,14.222849905490875,0.0,100.0,0.052337811461091,0.0270480785989761,4.057591623036649,0.6440807174887893
oi_funding_continuation,long,3m,state_machine,595,8,1344.0,3795,13.20064663887024,10.815446078777311,-5.224158987402916,-5.224158987402916,10.547128319740295,12.93232887983322,0.0,100.0,0.0514687516242265,0.0241815843135118,4.389880952380952,0.6432735426008969
freshness_strict_confirmation,long,5m,failed_continuation,970,10,441.0,1344,16.826292872428894,7.442941516637802,-5.224158987402916,-5.224158987402916,7.174623757600784,16.557975113391876,0.0,100.0,0.0661820762306451,0.0129778183460235,5.895691609977324,0.6418834080717489
liquidity_filtered_momentum,long,T0,runner_trail,1382,9,466.0,1401,13.507437705993652,9.03102308511734,-3.2241586595773697,-3.2241586595773697,8.762705326080322,13.239118456840515,0.0,100.0,0.0399035559922456,0.0237561048191785,5.36480686695279,0.6388340807174888
freshness_strict_confirmation,long,5m,runner_trail,1980,14,441.0,3795,12.760668992996216,6.14900067448616,-5.224158987402916,-2.2241588681936264,5.880682915449143,12.492350488901138,0.0,100.0,0.0506986338108778,0.0084214158117771,5.895691609977324,0.6386547085201795
state_machine_runner,long,T0,fixed_tp_sl,2429,22,347.0,1401,4.775841161608696,2.7758410200476646,-2.2241588681936264,4.775841161608696,2.507523261010647,4.507523402571678,23.34293948126801,100.0,0.0336429675504565,0.0101148332651704,2.850877192982456,0.6369955156950673
state_machine_runner,long,3m,failed_continuation,1458,4,764.0,1344,14.332500100135803,7.371535152196884,-5.224158987402916,-2.2241588681936264,7.103217393159866,14.064182341098784,0.0,100.0,0.0503365020662546,0.0209650690698623,4.057591623036649,0.6291928251121076
oi_funding_continuation,long,3m,failed_continuation,588,5,764.0,1344,14.332500100135803,12.240638583898544,-5.224158987402916,-5.224158987402916,11.972320824861526,14.064182341098784,0.0,100.0,0.0503365020662546,0.0286884814856914,4.389880952380952,0.626322869955157
contrarian_crash_fade,long,T0,fixed_tp_sl,1001,15,221.0,657,7.775840908288956,2.7758410200476646,-3.339961916208267,1.7758410423994064,2.507523261010647,7.507523149251938,8.091908091908092,100.0,0.0422429661273956,0.0084956239208579,4.069767441860465,0.6250224215246637
