strategy_similarity_cluster_id,strategy_family,side,exit_family,strategies,sample_gt15_count,median_sample_size,best_median_net_pct,median_net_pct,median_p10_net_pct,best_robust_score,median_robust_score,median_stability_score,positive_stress_rate_pct,future_safety_pass_rate_pct,median_top_symbol_share_pct,best_strategy_id,best_sample_size,best_sample_tier,neighborhood_stability_score,source_cluster_strategies,source_cluster_best_strategy_id,source_cluster_best_robust_score
cluster_86cc239022,state_machine_runner,long,failed_continuation,529,529,764.0,14.332500100135803,7.285013049840927,-2.2241588681936264,0.0503365020662546,0.0212650690698623,0.5856012250000001,100.0,100.0,4.057591623036649,v6_3ffd7888edc76d17ec,764,higher_confidence_watchlist,0.7708283582089553,657,v6_3ffd7888edc76d17ec,0.0503365020662546
cluster_00e9672329,oi_funding_continuation,long,time_decay,281,281,392.0,15.473392605781555,9.125888347625732,-1.824158988893032,0.0699561027765274,0.0286081322500109,0.6380795000000001,100.0,100.0,3.316326530612245,v6_090ab02762df1e6011,392,higher_confidence_watchlist,0.77,281,v6_090ab02762df1e6011,0.0699561027765274
cluster_76918573db,premium_basis_overheat,long,state_machine,329,329,202.0,15.68090319633484,9.811444580554962,-2.4086620658636093,0.0709614907890558,0.0290675794273614,0.6495355250000001,100.0,100.0,4.455445544554455,v6_b6d1eac573f68537f0,202,higher_confidence_watchlist,0.7697238805970148,329,v6_b6d1eac573f68537f0,0.0709614907890558
cluster_c003fb3955,state_machine_runner,long,failed_continuation,529,529,764.0,14.332500100135803,7.285013049840927,-2.2241588681936264,0.0500365020662546,0.0209650690698623,0.583732075,100.0,100.0,4.057591623036649,v6_0780dbcb9d8056792d,764,higher_confidence_watchlist,0.7692611940298508,661,v6_de60cf27e5029c6a89,0.0500365020662546
cluster_d6d9860878,cross_channel_continuation,long,breakeven_ratchet,208,208,392.0,16.403016448020935,10.060795396566393,-1.7241587862372398,0.0591087468931078,0.0321803075292706,0.668222,100.0,100.0,3.316326530612245,v6_5512e6a10c9d36e9ed,392,higher_confidence_watchlist,0.7673582089552238,208,v6_5512e6a10c9d36e9ed,0.0591087468931078
cluster_e02c0b9bfe,state_machine_runner,long,state_machine,295,295,954.0,13.39646577835083,11.85646429657936,-5.224158987402916,0.0555254273563623,0.0470554221868515,0.670828275,100.0,100.0,6.079664570230608,v6_8c4abd71f6e1a934bb,954,higher_confidence_watchlist,0.7650373134328359,499,v6_8c4abd71f6e1a934bb,0.0555254273563623
cluster_420a5aa4a0,state_machine_runner,long,state_machine,279,279,416.0,13.141626119613647,11.601624637842178,-5.224158987402916,0.0493139735430479,0.0423187575310468,0.6509167499999999,100.0,100.0,4.326923076923077,v6_ee28cf00c7d37b9d79,416,higher_confidence_watchlist,0.763865671641791,279,v6_ee28cf00c7d37b9d79,0.0493139735430479
cluster_b854801864,message_context_breakout,long,runner_trail,224,224,201.0,15.529470145702362,14.729470014572144,-3.2241586595773697,0.0469806695312261,0.0441806690722704,0.709687725,100.0,100.0,6.467661691542288,v6_12bde3d39da44b8e14,201,higher_confidence_watchlist,0.7628283582089552,224,v6_12bde3d39da44b8e14,0.0469806695312261
cluster_456fd85926,freshness_strict_confirmation,long,time_decay,204,204,227.0,18.888746201992035,10.597600042819977,-1.824158988893032,0.0847447773396968,0.0337591231831908,0.6649805000000001,100.0,100.0,3.524229074889868,v6_0feb40c0a244beb1ef,227,higher_confidence_watchlist,0.7606492537313433,204,v6_0feb40c0a244beb1ef,0.0847447773396968
cluster_c70fd6c9bb,liquidity_filtered_momentum,long,breakeven_ratchet,203,203,954.0,13.445761799812315,13.445761799812315,-3.2241586595773697,0.039987690320611,0.039987690320611,0.72231465,100.0,100.0,6.079664570230608,v6_11af9cfb97f008c0fa,954,higher_confidence_watchlist,0.7605522388059701,494,v6_67463f5d4fa68204f9,0.066847915521264
cluster_8ef15258b5,taker_flow_reversal,long,fixed_tp_sl,257,257,347.0,7.775840908288956,7.775840908288956,-1.7241587862372398,0.0418429663360118,0.0241829668202996,0.598901425,100.0,100.0,2.5936599423631126,v6_26b02ac53b92c2db1b,347,higher_confidence_watchlist,0.7594104477611942,503,v6_26b02ac53b92c2db1b,0.0418429663360118
cluster_39710745e9,oi_funding_continuation,long,breakeven_ratchet,166,166,102.0,21.86616957187653,15.73370397090912,-1.2643350288271904,0.1186540806233883,0.049795487293601,0.7567151750000002,100.0,100.0,3.92156862745098,v6_62a7735fcc14133733,102,higher_confidence_watchlist,0.7587388059701492,2140,v6_4aea03e3fa32fdedbb,0.1186540806233883
cluster_39710745e9,message_context_breakout,long,breakeven_ratchet,757,757,50.0,14.328685402870178,14.328685402870178,-3.2241586595773697,0.0417179229313135,0.0417179229313135,0.6350916750000001,100.0,100.0,16.0,v6_de73303377e96d15ad,50,validated_watchlist,0.7586119402985075,2140,v6_4aea03e3fa32fdedbb,0.1186540806233883
cluster_4dbb30084f,cross_channel_continuation,long,runner_trail,414,414,284.0,14.828619360923769,8.67418348789215,-1.7241587862372398,0.0681058580011129,0.0271671658489108,0.5977288000000001,100.0,100.0,4.577464788732395,v6_5a1244b70c0c1f01e4,284,higher_confidence_watchlist,0.7585895522388061,682,v6_5a1244b70c0c1f01e4,0.0681058580011129
cluster_7f7c2aed0a,freshness_strict_confirmation,long,state_machine,353,353,489.0,13.888880610466003,8.33396092057228,-2.2241588681936264,0.0561636193662881,0.0240363866174221,0.6069649500000002,100.0,100.0,4.4989775051124745,v6_193863a621975a3521,489,higher_confidence_watchlist,0.758276119402985,353,v6_193863a621975a3521,0.0561636193662881
cluster_1eb53e03b0,state_machine_runner,long,runner_trail,296,296,954.0,12.73334175348282,10.973341017961502,-5.224158987402916,0.0536267812758684,0.0439467787206172,0.6565854499999999,100.0,100.0,6.079664570230608,v6_408d301dd6ceb40bb3,954,higher_confidence_watchlist,0.7575597014925373,493,v6_408d301dd6ceb40bb3,0.0536267812758684
cluster_dfcb1188d0,freshness_strict_confirmation,long,runner_trail,667,667,24.0,17.97633171081543,16.216331720352173,-2.2241588681936264,0.1032176452636718,0.0522096901148557,0.640787775,100.0,100.0,16.666666666666664,v6_2f419d2bd03d2f112b,24,early_alpha,0.757365671641791,667,v6_2f419d2bd03d2f112b,0.1032176452636718
cluster_e91a929109,liquidity_filtered_momentum,long,breakeven_ratchet,139,139,455.0,14.861002564430237,14.861002564430237,-3.2241586595773697,0.0446410329967737,0.0446410329967737,0.742104475,100.0,100.0,2.6373626373626373,v6_81a500583e293e79b6,455,higher_confidence_watchlist,0.7565373134328358,139,v6_81a500583e293e79b6,0.0446410329967737
