reject_reason,strategy_family,exit_family,side,entry_timing,rejected_strategies,median_sample_size,max_sample_size,best_robust_score
sample_size_lt_20,taker_flow_reversal,state_machine,long,30s,52,0.0,2,-10.0013
sample_size_lt_20,cross_channel_continuation,failed_continuation,short,1m,52,0.0,18,-10.001
median_net_lte_0,freshness_strict_confirmation,trailing_stop,long,5m,52,1126.0,7317,-0.0011484771170839
sample_size_lt_20,contrarian_crash_fade,runner_trail,short,3m,52,0.0,0,-10.0013
sample_size_lt_20,state_machine_runner,partial_ladder,short,T0,52,0.0,19,-10.0016
sample_size_lt_20,cross_channel_continuation,partial_ladder,long,T0,52,0.0,14,-9.999865628339816
sample_size_lt_20,cross_channel_continuation,partial_ladder,short,1m,52,0.0,1,-10.001
sample_size_lt_20,oi_funding_continuation,failed_continuation,short,T0,51,0.0,4,-10.0007
sample_size_lt_20,contrarian_crash_fade,breakeven_ratchet,short,3m,51,0.0,0,-10.001
sample_size_lt_20,freshness_strict_confirmation,multi_tp_sl,long,5m,51,0.0,18,-9.99210703315176
sample_size_lt_20,cross_channel_continuation,trailing_stop,short,T0,51,0.0,19,-10.0013
sample_size_lt_20,liquidity_filtered_momentum,partial_ladder,short,3m,51,0.0,13,-10.001
median_net_lte_0,freshness_strict_confirmation,time_decay,long,5m,51,710.0,7317,-0.0030009199683554
sample_size_lt_20,taker_flow_reversal,prove_or_exit,long,30s,51,0.0,18,-10.0007
median_net_lte_0,state_machine_runner,breakeven_ratchet,short,T0,51,223.0,1401,-0.0032570329677313
median_net_lte_0,premium_basis_overheat,indicator_invalidation,short,5m,51,60.0,7317,-0.0045573624116368
sample_size_lt_20,cross_channel_continuation,prove_or_exit,short,T0,51,0.0,0,-10.0007
sample_size_lt_20,cross_channel_continuation,time_decay,short,T0,51,0.0,0,-10.001
median_net_lte_0,freshness_strict_confirmation,breakeven_ratchet,long,5m,51,847.0,7317,-0.003239678272102
sample_size_lt_20,taker_flow_reversal,time_decay,long,3m,51,0.0,0,-10.001
sample_size_lt_20,cross_channel_continuation,breakeven_ratchet,short,T0,51,0.0,18,-10.0013
sample_size_lt_20,premium_basis_overheat,failed_continuation,long,1m,51,0.0,11,-10.001
sample_size_lt_20,contrarian_crash_fade,time_decay,long,3m,51,0.0,0,-10.0007
sample_size_lt_20,taker_flow_reversal,trailing_stop,short,3m,50,0.0,11,-10.0007
sample_size_lt_20,cross_channel_continuation,prove_or_exit,long,T0,50,0.0,14,-10.001
sample_size_lt_20,taker_flow_reversal,breakeven_ratchet,long,3m,50,0.0,0,-10.0007
